date,material_id,site_id,stock_on_hand,daily_consumed,daily_replenished
2025-01-01,MAT0001,SITE0001,277,8,0
2025-01-02,MAT0001,SITE0001,271,6,0
2025-01-03,MAT0001,SITE0001,263,8,0
2025-01-04,MAT0001,SITE0001,278,14,29
2025-01-05,MAT0001,SITE0001,314,7,43
2025-01-06,MAT0001,SITE0001,308,6,0
2025-01-07,MAT0001,SITE0001,299,9,0
2025-01-08,MAT0001,SITE0001,288,11,0
2025-01-09,MAT0001,SITE0001,359,13,84
2025-01-10,MAT0001,SITE0001,347,12,0
2025-01-11,MAT0001,SITE0001,346,1,0
2025-01-12,MAT0001,SITE0001,418,12,84
2025-01-13,MAT0001,SITE0001,477,13,72
2025-01-14,MAT0001,SITE0001,465,12,0
2025-01-15,MAT0001,SITE0001,456,9,0
2025-01-16,MAT0001,SITE0001,528,11,83
2025-01-17,MAT0001,SITE0001,515,13,0
2025-01-18,MAT0001,SITE0001,506,9,0
2025-01-19,MAT0001,SITE0001,485,21,0
2025-01-20,MAT0001,SITE0001,480,5,0
2025-01-21,MAT0001,SITE0001,470,10,0
2025-01-22,MAT0001,SITE0001,517,16,63
2025-01-23,MAT0001,SITE0001,514,3,0
2025-01-24,MAT0001,SITE0001,505,9,0
2025-01-25,MAT0001,SITE0001,505,0,0
2025-01-26,MAT0001,SITE0001,540,8,43
2025-01-27,MAT0001,SITE0001,526,14,0
2025-01-28,MAT0001,SITE0001,525,1,0
2025-01-29,MAT0001,SITE0001,525,0,0
2025-01-30,MAT0001,SITE0001,512,13,0
2025-01-31,MAT0001,SITE0001,511,1,0
2025-02-01,MAT0001,SITE0001,501,10,0
2025-02-02,MAT0001,SITE0001,497,4,0
2025-02-03,MAT0001,SITE0001,488,9,0
2025-02-04,MAT0001,SITE0001,473,15,0
2025-02-05,MAT0001,SITE0001,549,8,84
2025-02-06,MAT0001,SITE0001,541,8,0
2025-02-07,MAT0001,SITE0001,528,13,0
2025-02-08,MAT0001,SITE0001,521,7,0
2025-02-09,MAT0001,SITE0001,514,7,0
2025-02-10,MAT0001,SITE0001,501,13,0
2025-02-11,MAT0001,SITE0001,497,4,0
2025-02-12,MAT0001,SITE0001,562,7,72
2025-02-13,MAT0001,SITE0001,547,15,0
2025-02-14,MAT0001,SITE0001,533,14,0
2025-02-15,MAT0001,SITE0001,528,5,0
2025-02-16,MAT0001,SITE0001,548,7,27
2025-02-17,MAT0001,SITE0001,597,10,59
2025-02-18,MAT0001,SITE0001,590,7,0
2025-02-19,MAT0001,SITE0001,575,15,0
2025-02-20,MAT0001,SITE0001,565,10,0
2025-02-21,MAT0001,SITE0001,551,14,0
2025-02-22,MAT0001,SITE0001,546,5,0
2025-02-23,MAT0001,SITE0001,539,7,0
2025-02-24,MAT0001,SITE0001,539,0,0
2025-02-25,MAT0001,SITE0001,586,17,64
2025-02-26,MAT0001,SITE0001,639,13,66
2025-02-27,MAT0001,SITE0001,714,7,82
2025-02-28,MAT0001,SITE0001,700,14,0
2025-03-01,MAT0001,SITE0001,782,6,88
2025-03-02,MAT0001,SITE0001,837,12,67
2025-03-03,MAT0001,SITE0001,827,10,0
2025-03-04,MAT0001,SITE0001,810,17,0
2025-03-05,MAT0001,SITE0001,793,17,0
2025-03-06,MAT0001,SITE0001,844,10,61
2025-03-07,MAT0001,SITE0001,892,8,56
2025-03-08,MAT0001,SITE0001,884,8,0
2025-03-09,MAT0001,SITE0001,909,5,30
2025-03-10,MAT0001,SITE0001,899,10,0
2025-03-11,MAT0001,SITE0001,891,8,0
2025-03-12,MAT0001,SITE0001,883,8,0
2025-03-13,MAT0001,SITE0001,896,10,23
2025-03-14,MAT0001,SITE0001,890,6,0
2025-03-15,MAT0001,SITE0001,876,14,0
2025-03-16,MAT0001,SITE0001,924,10,58
2025-03-17,MAT0001,SITE0001,912,12,0
2025-03-18,MAT0001,SITE0001,923,12,23
2025-03-19,MAT0001,SITE0001,919,4,0
2025-03-20,MAT0001,SITE0001,908,11,0
2025-03-21,MAT0001,SITE0001,900,8,0
2025-03-22,MAT0001,SITE0001,890,10,0
2025-03-23,MAT0001,SITE0001,890,0,0
2025-03-24,MAT0001,SITE0001,949,16,75
2025-03-25,MAT0001,SITE0001,981,10,42
2025-03-26,MAT0001,SITE0001,970,11,0
2025-03-27,MAT0001,SITE0001,999,13,42
2025-03-28,MAT0001,SITE0001,1021,2,24
2025-03-29,MAT0001,SITE0001,1107,6,92
2025-03-30,MAT0001,SITE0001,1102,5,0
2025-03-31,MAT0001,SITE0001,1090,12,0
2025-04-01,MAT0001,SITE0001,1079,11,0
2025-04-02,MAT0001,SITE0001,1070,9,0
2025-04-03,MAT0001,SITE0001,1131,11,72
2025-04-04,MAT0001,SITE0001,1115,16,0
2025-04-05,MAT0001,SITE0001,1105,10,0
2025-04-06,MAT0001,SITE0001,1090,15,0
2025-04-07,MAT0001,SITE0001,1104,6,20
2025-04-08,MAT0001,SITE0001,1101,3,0
2025-04-09,MAT0001,SITE0001,1141,4,44
2025-04-10,MAT0001,SITE0001,1141,0,0
2025-04-11,MAT0001,SITE0001,1127,14,0
