ticket_id,created_at,ticket_type,priority,sla_minutes,region,site_id,equipment_id,equipment_type,equipment_model,fault_category,fault_subcategory,fault_description,severity,equipment_age_months,last_fault_at,dispatched_at,accepted_at,arrived_at,repair_started_at,repair_finished_at,inspected_at,accepted_by_customer_at,closed_at,status_history,technician_id,team_id,technician_level,technician_workload_today,total_cost,budget_limit,is_warranty,photo_count,report_uploaded,customer_signature,attachment_count,photo_taken_at,is_reopened,reopen_within_days,customer_complaint,customer_satisfaction,qc_audit_result
TK000001,2025-11-24 08:01:00,保养,高,240,华南,SITE0024,EQ00027,配电箱,Model-C926,电气故障,电气故障-1,配电箱出现电气故障问题,轻微,11,2025-05-06 08:01:00,2025-11-24 08:43:00,2025-11-24 09:01:00,2025-11-24 09:15:00,2025-11-24 09:22:00,2025-11-24 09:57:00,,2025-11-24 10:17:00,2025-11-24 10:34:00,"[{'ts': '2025-11-24T08:01:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-11-24T08:43:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0012'}, {'ts': '2025-11-24T09:15:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0012'}, {'ts': '2025-11-24T09:57:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0020'}, {'ts': '2025-11-24T10:34:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0003,TEAM05,中,5,2155.65,3049.05,False,0,True,True,6,['2025-11-24T08:01:00'],False,,False,5.0,合规
TK000002,2025-11-18 16:56:00,保养,中,480,西北,SITE0003,EQ00012,配电箱,Model-A334,短路,短路-1,配电箱出现短路问题,轻微,10,2025-04-08 16:56:00,2025-11-18 17:55:00,2025-11-18 18:07:00,2025-11-18 20:07:00,2025-11-18 20:24:00,2025-11-18 21:35:00,,2025-11-18 22:13:00,2025-11-18 22:20:00,"[{'ts': '2025-11-18T16:56:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-11-18T17:55:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0018'}, {'ts': '2025-11-18T20:07:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0008'}, {'ts': '2025-11-18T21:35:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0011'}, {'ts': '2025-11-18T22:20:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0007,TEAM05,持证,6,1126.58,1449.78,False,20,True,True,8,['2025-11-18T16:56:00'],False,,False,3.0,合规
TK000003,2025-04-19 17:31:00,巡检,低,1440,华中,SITE0005,EQ00068,开关柜,Model-C887,短路,短路-3,开关柜出现短路问题,轻微,68,2024-07-24 17:31:00,2025-04-19 17:52:00,2025-04-19 18:20:00,2025-04-19 19:44:00,2025-04-19 20:07:00,2025-04-20 00:06:00,2025-04-20 00:24:00,2025-04-20 01:02:00,2025-04-20 01:07:00,"[{'ts': '2025-04-19T17:31:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-04-19T17:52:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0001'}, {'ts': '2025-04-19T19:44:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0004'}, {'ts': '2025-04-20T00:06:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0018'}, {'ts': '2025-04-20T01:07:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0009,TEAM05,持证,3,545.46,618.0,True,20,True,True,9,['2025-04-19T17:31:00'],False,,False,4.0,合规
TK000004,2025-09-17 08:55:00,巡检,低,1440,西南,SITE0020,EQ00051,开关柜,Model-E533,漏电,漏电-2,开关柜出现漏电问题,轻微,69,,2025-09-17 09:49:00,2025-09-17 10:10:00,2025-09-17 10:20:00,2025-09-17 10:35:00,2025-09-17 16:01:00,,,2025-09-17 17:13:00,"[{'ts': '2025-09-17T08:55:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-09-17T09:49:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0018'}, {'ts': '2025-09-17T10:20:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0006'}, {'ts': '2025-09-17T16:01:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0009'}, {'ts': '2025-09-17T17:13:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}, {'ts': '2025-09-22T17:13:00', 'from': '已关闭', 'to': '已重开', 'actor': '客户'}]",TECH0007,TEAM03,高,7,1606.82,1832.65,False,2,True,True,1,['2025-09-17T08:55:00'],True,6.0,False,,合规
TK000005,2025-12-10 17:23:00,巡检,中,480,华东,SITE0008,EQ00058,变压器,Model-D520,漏电,漏电-4,变压器出现漏电问题,严重,70,2025-03-13 17:23:00,2025-12-10 17:42:00,2025-12-10 18:05:00,2025-12-10 18:43:00,2025-12-10 18:50:00,2025-12-10 19:13:00,,2025-12-10 20:45:00,2025-12-10 20:53:00,"[{'ts': '2025-12-10T17:23:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-12-10T17:42:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0004'}, {'ts': '2025-12-10T18:43:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0014'}, {'ts': '2025-12-10T19:13:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0012'}, {'ts': '2025-12-10T20:53:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0002,TEAM04,初,6,4312.21,4957.32,False,15,True,True,9,['2025-12-10T17:23:00'],False,,False,,待审
TK000006,2025-02-25 10:12:00,抢修,中,480,华中,SITE0006,EQ00072,电容器,Model-F902,短路,短路-5,电容器出现短路问题,轻微,9,2024-07-11 10:12:00,2025-02-25 10:45:00,2025-02-25 11:15:00,2025-02-25 13:15:00,2025-02-25 13:37:00,2025-02-25 21:15:00,,2025-02-25 21:26:00,2025-02-25 21:37:00,"[{'ts': '2025-02-25T10:12:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-02-25T10:45:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0015'}, {'ts': '2025-02-25T13:15:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0010'}, {'ts': '2025-02-25T21:15:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0014'}, {'ts': '2025-02-25T21:37:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}, {'ts': '2025-03-03T21:37:00', 'from': '已关闭', 'to': '已重开', 'actor': '客户'}]",TECH0010,TEAM02,高,1,4639.2,7859.21,True,15,True,False,0,['2025-02-25T10:12:00'],True,9.0,False,,合规
TK000007,2025-10-24 18:34:00,抢修,高,240,华东,SITE0019,EQ00123,发电机,Model-A109,环境损坏,环境损坏-4,发电机出现环境损坏问题,一般,7,2025-04-17 18:34:00,2025-10-24 19:11:00,2025-10-24 19:18:00,2025-10-24 21:16:00,2025-10-24 21:23:00,2025-10-24 23:18:00,,2025-10-25 00:36:00,2025-10-25 00:44:00,"[{'ts': '2025-10-24T18:34:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-10-24T19:11:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0010'}, {'ts': '2025-10-24T21:16:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0015'}, {'ts': '2025-10-24T23:18:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0011'}, {'ts': '2025-10-25T00:44:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}, {'ts': '2025-11-01T00:44:00', 'from': '已关闭', 'to': '已重开', 'actor': '客户'}]",TECH0003,TEAM05,中,4,1306.46,1980.81,False,13,True,True,5,['2025-10-24T18:34:00'],True,14.0,False,5.0,合规
TK000008,2025-09-17 11:08:00,改造,低,1440,华南,SITE0012,EQ00073,开关柜,Model-C966,老化,老化-1,开关柜出现老化问题,轻微,90,,2025-09-17 11:32:00,2025-09-17 11:56:00,2025-09-17 13:49:00,2025-09-17 14:10:00,2025-09-17 20:04:00,2025-09-17 20:22:00,,2025-09-17 20:15:00,"[{'ts': '2025-09-17T11:08:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-09-17T11:32:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0009'}, {'ts': '2025-09-17T13:49:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0017'}, {'ts': '2025-09-17T20:04:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0016'}, {'ts': '2025-09-17T20:15:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0002,TEAM01,高,6,607.57,1041.79,False,3,True,True,4,['2025-09-17T11:08:00'],False,,False,,合规
TK000009,2025-03-08 17:16:00,抢修,中,480,西北,SITE0014,EQ00144,变压器,Model-B522,过热,过热-1,变压器出现过热问题,严重,113,,2025-03-08 18:05:00,2025-03-08 18:14:00,2025-03-08 19:33:00,2025-03-08 19:49:00,2025-03-08 20:27:00,2025-03-08 20:42:00,,2025-03-08 21:51:00,"[{'ts': '2025-03-08T17:16:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-03-08T18:05:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0005'}, {'ts': '2025-03-08T19:33:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0008'}, {'ts': '2025-03-08T20:27:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0006'}, {'ts': '2025-03-08T21:51:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0014,TEAM02,持证,5,4505.01,7466.09,False,11,True,True,1,['2025-03-08T17:16:00'],False,,False,3.0,待审
TK000010,2025-03-23 19:44:00,抢修,低,1440,华中,SITE0008,EQ00052,电容器,Model-D720,漏电,漏电-5,电容器出现漏电问题,一般,101,,2025-03-23 20:44:00,2025-03-23 20:56:00,2025-03-23 21:34:00,2025-03-23 22:00:00,2025-03-23 22:32:00,2025-03-23 22:55:00,2025-03-23 23:00:00,2025-03-23 23:06:00,"[{'ts': '2025-03-23T19:44:00', 'from': '新建', 'to': '已派单', 'actor': '系统'}, {'ts': '2025-03-23T20:44:00', 'from': '已派单', 'to': '已接单', 'actor': 'TECH0014'}, {'ts': '2025-03-23T21:34:00', 'from': '已接单', 'to': '已到场', 'actor': 'TECH0012'}, {'ts': '2025-03-23T22:32:00', 'from': '已到场', 'to': '已修复', 'actor': 'TECH0011'}, {'ts': '2025-03-23T23:06:00', 'from': '已修复', 'to': '已关闭', 'actor': '系统'}]",TECH0014,TEAM01,初,4,1820.62,2651.89,True,17,True,True,4,['2025-03-23T19:44:00'],False,,False,3.0,合规
