ticket_id,material_id,material_category,qty_used,qty_returned,unit_price
TK000001,MAT0003,辅材,19.5,0.0,257.39
TK000001,MAT0034,电气元件,16.7,0.9,315.38
TK000001,MAT0030,机械零件,19.8,0.0,30.34
TK000002,MAT0004,绝缘材料,3.9,0.0,12.91
TK000002,MAT0034,线缆,14.6,0.0,261.59
TK000002,MAT0029,绝缘材料,4.5,0.0,88.04
TK000002,MAT0004,机械零件,15.1,0.0,242.45
TK000003,MAT0025,绝缘材料,17.1,0.0,373.33
TK000004,MAT0037,工具,3.9,0.0,378.54
TK000005,MAT0017,线缆,6.1,0.0,206.05
TK000005,MAT0006,线缆,2.3,0.0,327.94
TK000006,MAT0039,线缆,1.8,1.9,453.97
TK000006,MAT0030,电气元件,7.7,0.0,109.23
TK000007,MAT0031,辅材,1.9,0.0,229.66
TK000007,MAT0037,机械零件,2.8,0.0,100.15
TK000008,MAT0048,绝缘材料,5.1,0.0,95.21
TK000008,MAT0043,工具,4.0,0.0,202.18
TK000009,MAT0030,绝缘材料,16.8,0.0,408.94
TK000009,MAT0017,绝缘材料,9.8,0.0,264.51
TK000009,MAT0001,机械零件,17.0,0.0,17.22
TK000009,MAT0017,工具,4.8,0.0,314.45
TK000010,MAT0001,线缆,8.8,0.0,239.87
TK000010,MAT0001,绝缘材料,14.8,0.0,312.89
TK000011,MAT0036,线缆,7.5,0.0,454.03
TK000011,MAT0009,辅材,5.4,0.0,336.97
TK000011,MAT0019,辅材,3.3,0.0,449.4
TK000011,MAT0018,绝缘材料,19.6,0.0,292.49
TK000011,MAT0004,机械零件,18.6,0.0,474.46
TK000012,MAT0036,机械零件,4.1,0.0,412.53
TK000012,MAT0019,工具,13.8,0.0,195.78
TK000012,MAT0011,工具,15.4,0.0,475.26
TK000013,MAT0004,绝缘材料,15.2,1.9,335.7
TK000013,MAT0016,电气元件,2.7,0.0,400.2
TK000013,MAT0032,机械零件,7.7,0.0,446.95
TK000013,MAT0021,辅材,17.5,0.0,116.2
TK000013,MAT0027,线缆,5.4,0.0,82.71
TK000014,MAT0027,工具,8.5,0.0,85.02
TK000014,MAT0030,工具,1.6,0.0,35.42
