ticket_id,anomaly_label,anomaly_score,anomaly_model_if,anomaly_model_lof,anomaly_reasons,created_at,ticket_type,priority,region,equipment_type,fault_category,total_cost
TK000001,0,0.4042,0,0,"[{'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'photo_count', 'deviation': 1.649, 'importance': 0.0476, 'value': -1.649}, {'feature': 'arrival_delay', 'deviation': 1.591, 'importance': 0.0476, 'value': -1.591}]",2025-11-24 08:01:00,保养,高,华南,配电箱,电气故障,2155.65
TK000002,0,0.4351,0,0,"[{'feature': 'response_time', 'deviation': 2.074, 'importance': 0.0476, 'value': 2.074}, {'feature': 'arrival_delay', 'deviation': 1.733, 'importance': 0.0476, 'value': 1.733}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-11-18 16:56:00,保养,中,西北,配电箱,短路,1126.58
TK000003,0,0.3083,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'photo_count', 'deviation': 1.641, 'importance': 0.0476, 'value': 1.641}]",2025-04-19 17:31:00,巡检,低,华中,开关柜,短路,545.46
TK000004,1,0.5695,0,1,"[{'feature': 'reopen_within_days', 'deviation': 2.109, 'importance': 0.0476, 'value': 2.109}, {'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'arrival_delay', 'deviation': 1.717, 'importance': 0.0476, 'value': -1.717}]",2025-09-17 08:55:00,巡检,低,西南,开关柜,漏电,1606.82
TK000005,0,0.1657,0,0,[],2025-12-10 17:23:00,巡检,中,华东,变压器,漏电,4312.21
TK000006,1,0.5981,1,1,"[{'feature': 'reopen_within_days', 'deviation': 3.303, 'importance': 0.0476, 'value': 3.303}, {'feature': 'response_time', 'deviation': 1.856, 'importance': 0.0476, 'value': 1.856}, {'feature': 'arrival_delay', 'deviation': 1.733, 'importance': 0.0476, 'value': 1.733}]",2025-02-25 10:12:00,抢修,中,华中,电容器,短路,4639.2
TK000007,1,0.4729,1,0,"[{'feature': 'reopen_within_days', 'deviation': 5.294, 'importance': 0.0476, 'value': 5.294}, {'feature': 'customer_satisfaction', 'deviation': 1.682, 'importance': 0.0476, 'value': 1.682}, {'feature': 'arrival_delay', 'deviation': 1.67, 'importance': 0.0476, 'value': 1.67}]",2025-10-24 18:34:00,抢修,高,华东,发电机,环境损坏,1306.46
TK000008,0,0.3057,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'ticket_type_enc', 'deviation': 1.845, 'importance': 0.0476, 'value': 1.845}, {'feature': 'arrival_delay', 'deviation': 1.513, 'importance': 0.0476, 'value': 1.513}]",2025-09-17 11:08:00,改造,低,华南,开关柜,老化,607.57
TK000009,0,0.2958,0,0,"[{'feature': 'equipment_age_months', 'deviation': 1.552, 'importance': 0.0476, 'value': 1.552}, {'feature': 'fault_category_enc', 'deviation': 1.546, 'importance': 0.0476, 'value': 1.546}, {'feature': 'budget_limit', 'deviation': 1.523, 'importance': 0.0476, 'value': 1.523}]",2025-03-08 17:16:00,抢修,中,西北,变压器,过热,4505.01
TK000010,0,0.2714,0,0,"[{'feature': 'sla_minutes', 'deviation': 1.846, 'importance': 0.0476, 'value': 1.846}, {'feature': 'dispatch_delay', 'deviation': 1.699, 'importance': 0.0476, 'value': 1.699}]",2025-03-23 19:44:00,抢修,低,华中,电容器,漏电,1820.62
