material_id,site_id,current_stock,avg_daily_demand,std_daily_demand,safety_stock,reorder_point,days_until_stockout,need_reorder,recommended_reorder_qty,forecast_avg_daily,forecast_total
MAT0020,SITE0001,2689,9.63,5.02,21.9,89.3,279.2,False,0,6.41,192.3
MAT0020,SITE0002,1356,9.89,5.21,22.7,91.9,137.1,False,0,10.2,306.1
MAT0020,SITE0003,2694,9.31,4.91,21.4,86.6,289.4,False,0,7.14,214.2
MAT0020,SITE0004,614,9.84,4.79,20.9,89.7,62.4,False,0,7.79,233.8
MAT0020,SITE0005,2388,9.67,5.01,21.9,89.6,246.9,False,0,11.64,349.1
MAT0004,SITE0001,1811,9.86,5.12,22.4,91.4,183.6,False,0,10.67,320.2
MAT0004,SITE0002,1956,10.04,4.67,20.4,90.7,194.9,False,0,15.77,473.0
MAT0004,SITE0003,1667,9.35,4.98,21.7,87.2,178.2,False,0,7.23,216.9
MAT0004,SITE0004,2930,9.63,4.73,20.7,88.1,304.3,False,0,13.32,399.7
MAT0004,SITE0005,2173,9.94,4.91,21.4,91.0,218.6,False,0,6.91,207.2
MAT0009,SITE0001,3008,9.57,4.79,20.9,87.9,314.2,False,0,11.4,341.9
MAT0009,SITE0002,2730,9.78,4.71,20.6,89.1,279.0,False,0,8.2,246.1
MAT0009,SITE0003,2383,9.39,4.91,21.4,87.1,253.7,False,0,11.14,334.3
MAT0009,SITE0004,1963,9.6,4.69,20.5,87.7,204.4,False,0,9.04,271.2
MAT0009,SITE0005,1954,9.42,4.66,20.4,86.3,207.4,False,0,7.09,212.7
MAT0007,SITE0001,3457,9.04,4.64,20.3,83.6,382.5,False,0,11.14,334.1
MAT0007,SITE0002,3121,9.82,4.76,20.8,89.6,317.7,False,0,11.84,355.2
MAT0007,SITE0003,2211,9.45,4.7,20.5,86.7,233.8,False,0,9.67,290.1
MAT0007,SITE0004,2230,9.45,4.94,21.6,87.7,236.1,False,0,7.43,223.0
MAT0007,SITE0005,2280,9.56,4.79,20.9,87.8,238.5,False,0,12.82,384.7
