ticket_id,risk_score,risk_level,final_risk_prob,lr_risk_prob,nn_risk_prob,risk_explanation,is_risk_high,is_risk_medium,is_risk_low,risk_dim_compliance,risk_dim_sla,risk_dim_cost,risk_dim_quality,risk_dim_equipment,created_at,ticket_type,priority,region
TK000001,0.1039,low,0.0454,0.0399,0.0007,compliance(0.25); cost(0.21),0,0,1,0.25,0,0.20699070202194125,0.0,0.0,2025-11-24 08:01:00,保养,高,华南
TK000002,0.0554,low,0.022,0.014,0.0013,cost(0.28),0,0,1,0.0,0,0.27706962435679894,0.0,0.0,2025-11-18 16:56:00,保养,中,西北
TK000003,0.1065,low,0.0393,0.0203,0.0006,cost(0.38); equipment(0.20),0,0,1,0.0,0,0.382621359223301,0.0,0.2,2025-04-19 17:31:00,巡检,低,华中
TK000004,0.2429,low,0.2553,0.3632,0.1579,quality(0.50); cost(0.38); compliance(0.25),0,0,1,0.25,0,0.37677407033530674,0.5,0.2,2025-09-17 08:55:00,巡检,低,西南
TK000005,0.164,low,0.0771,0.0573,0.0225,equipment(0.60); cost(0.37),0,0,1,0.0,0,0.36986718630227633,0.0,0.6,2025-12-10 17:23:00,巡检,中,华东
TK000006,0.1556,low,0.3017,0.6511,0.0776,quality(0.50); compliance(0.25),0,0,1,0.25,0,0.09028833686846383,0.5,0.0,2025-02-25 10:12:00,抢修,中,华中
TK000007,0.1069,low,0.1363,0.2411,0.0566,quality(0.50); cost(0.16),0,0,1,0.0,0,0.15955846345686864,0.5,0.0,2025-10-24 18:34:00,抢修,高,华东
TK000008,0.1066,low,0.0728,0.1143,0.0024,equipment(0.60),0,0,1,0.0,0,0.08319814933911829,0.0,0.6,2025-09-17 11:08:00,改造,低,华南
TK000009,0.1407,low,0.1897,0.1314,0.2899,equipment(0.80); cost(0.10),0,0,1,0.0,0,0.10339615514948253,0.0,0.8,2025-03-08 17:16:00,抢修,中,西北
TK000010,0.0973,low,0.0582,0.0755,0.0075,equipment(0.40); cost(0.19),0,0,1,0.0,0,0.18653677188722007,0.0,0.4,2025-03-23 19:44:00,抢修,低,华中
TK000011,0.108,low,0.1,0.1774,0.0157,compliance(0.25); equipment(0.20),0,0,1,0.25,0,0.07737944451762613,0.0,0.2,2025-07-06 13:04:00,改造,低,西南
TK000012,0.2925,low,0.7069,0.8723,0.8968,cost(1.00); compliance(0.25); equipment(0.20),0,0,1,0.25,0,1.0,0.0,0.2,2025-02-17 20:48:00,抢修,高,华南
TK000013,0.0953,low,0.1107,0.1817,0.0529,equipment(0.40); cost(0.18),0,0,1,0.0,0,0.17654198702595614,0.0,0.4,2025-10-08 14:57:00,抢修,低,华中
TK000014,0.246,low,0.6235,0.8519,0.7188,equipment(0.60); quality(0.50); compliance(0.25),0,0,1,0.25,0,0.09229310675103974,0.5,0.6,2025-06-30 11:48:00,巡检,低,华中
